Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description,Latitude,Longitude
7 Days Food Store,78745,1/23/2015,94,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.210579, -97.786929)",2804068,Routine Inspection,30.210579,-97.786929
7 Eleven # 36267A,78748,4/29/2015,75,"525 W SLAUGHTER LN
AUSTIN, TX 78748
(30.171905, -97.798968)",11126612,Routine Inspection,30.171905,-97.798968
7 Eleven # 36610A,78758,9/28/2015,80,"2616 W BRAKER LN
AUSTIN, TX 78758
(30.3911, -97.721166)",11126657,Routine Inspection,30.3911,-97.721166
7-11 Convenience Store #35792A,78744,12/16/2016,83,"1901 E WILLIAM CANNON DR
AUSTIN, TX 78744
(30.188438, -97.765587)",11473920,Routine Inspection,30.188438,-97.765587
7-Eleven,78703,6/12/2015,97,"2620 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.282201, -97.776098)",10074325,Routine Inspection,30.282201,-97.776098
7-Eleven,78704,1/24/2017,86,"1403 S LAMAR BLVD
AUSTIN, TX 78704
(30.252686, -97.763774)",10479184,Routine Inspection,30.252686,-97.763774
7-Eleven,78741,10/27/2014,93,"1705 S LAKESHORE BLVD
AUSTIN, TX 78741
(30.24488, -97.728661)",10132234,Routine Inspection,30.24488,-97.728661
7-Eleven,78749,6/18/2014,90,"8010 BRODIE LN
AUSTIN, TX 78749
(30.202875, -97.837567)",10138206,Routine Inspection,30.202875,-97.837567
7-Eleven,78726,2/8/2017,94,"11518 N FM 620 RD
AUSTIN, TX 78726
(30.454693, -97.826557)",10063456,Routine Inspection,30.454693,-97.826557
7-Eleven,78701,4/21/2016,94,"411 W MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78701
(30.281756, -97.742074)",10401573,Routine Inspection,30.281756,-97.742074
7-Eleven - Vaishnavi Food and Gas,78704,8/14/2015,93,"2820 S LAMAR BLVD
AUSTIN, TX 78704
(30.243623, -97.782285)",10096855,Routine Inspection,30.243623,-97.782285
7-Eleven #12702,78741,2/18/2016,83,"1747 E OLTORF ST
AUSTIN, TX 78741
(30.232403, -97.737181)",10599390,Routine Inspection,30.232403,-97.737181
7-Eleven #12705,78701,10/7/2015,94,"408 W 15TH ST
AUSTIN, TX 78701
(30.278193, -97.743785)",10207779,Routine Inspection,30.278193,-97.743785
7-Eleven #22245,78704,4/30/2014,100,"2103 S CONGRESS AVE
AUSTIN, TX 78704
(30.24327, -97.752028)",10159452,Routine Inspection,30.24327,-97.752028
7-Eleven #24397,78757,5/5/2015,92,"5901 BURNET RD
AUSTIN, TX 78757
(30.334993, -97.739801)",10750504,Routine Inspection,30.334993,-97.739801
7-Eleven 36641H,78745,12/13/2016,97,"3431 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.213523, -97.830008)",10874724,Routine Inspection,30.213523,-97.830008
7-Eleven Convenience Store,78705,12/31/2014,76,"2600 GUADALUPE ST
AUSTIN, TX 78705
(30.290567, -97.741326)",10041113,Routine Inspection,30.290567,-97.741326
7-Eleven Convenience Store # 35473A,78660,12/27/2016,94,"1624 E HOWARD LN
AUSTIN, TX 78660
(30.403876, -97.638808)",11348497,Routine Inspection,30.403876,-97.638808
7-Eleven Convenience Store # 36263A,78727,9/3/2015,85,"3801 W PARMER LN
AUSTIN, TX 78727
(30.424528, -97.713268)",11067024,Routine Inspection,30.424528,-97.713268
7-Eleven Convenience Store # 36274A,78731,7/8/2015,97,"3324 NORTHLAND DR
AUSTIN, TX 78731
(30.337206, -97.756615)",11275155,Routine Inspection,30.337206,-97.756615
7-Eleven Convenience Store # 36563A,78759,8/29/2016,96,"11643 RESEARCH BLVD NB
AUSTIN, TX 78759
(30.416577, -97.745964)",11394132,Routine Inspection,30.416577,-97.745964
7-Eleven Convenience Store # 36588A,78753,10/23/2015,94,"1100 W PARMER LN
AUSTIN, TX 78753
(30.407971, -97.678768)",11067007,Routine Inspection,30.407971,-97.678768
7-Eleven Convenience Store # 36589A,78729,7/29/2014,97,"10207 LAKE CREEK PKWY
AUSTIN, TX 78729
(30.461521, -97.792999)",11066959,Routine Inspection,30.461521,-97.792999
7-Eleven Convenience Store # 36604A,78723,12/23/2015,94,"6518 ED BLUESTEIN BLVD SB
AUSTIN, TX 78723
(30.303264, -97.661019)",11196293,Routine Inspection,30.303264,-97.661019
7-Eleven Convenience Store # 36612A,78752,1/18/2017,93,"6707 CAMERON RD
AUSTIN, TX 78752
(30.322591, -97.694362)",11459860,Routine Inspection,30.322591,-97.694362
7-Eleven Convenience Store # 36616,78728,12/20/2016,82,"14730 N IH 35 SVRD SB
AUSTIN, TX 78728
(30.439294, -97.66952)",11446399,Routine Inspection,30.439294,-97.66952
7-Eleven Convenience Store # 36621A,78758,3/9/2016,92,"9061 RESEARCH BLVD NB
AUSTIN, TX 78758
(30.373856, -97.727016)",11398770,Routine Inspection,30.373856,-97.727016
7-Eleven Convenience Store #21884,78703,7/25/2016,87,"917 N LAMAR BLVD
AUSTIN, TX 78703
(30.274839, -97.752328)",10294642,Routine Inspection,30.274839,-97.752328
7-Eleven Convenience Store #24008,78751,5/7/2015,81,"5101 N LAMAR BLVD
AUSTIN, TX 78751
(30.318946, -97.730735)",10155839,Routine Inspection,30.318946,-97.730735
7-Eleven Convenience Store #25445,78758,2/3/2015,79,"8900 N LAMAR BLVD
AUSTIN, TX 78758
(30.357983, -97.699906)",10221183,Routine Inspection,30.357983,-97.699906
7-Eleven Convenience Store #26353A,78745,7/8/2016,97,"601 W BEN WHITE BLVD EB
AUSTIN, TX 78745
(30.226378, -97.769947)",10184475,Routine Inspection,30.226378,-97.769947
7-Eleven Convenience Store #30467C,78753,2/25/2016,90,"10111 N LAMAR BLVD
AUSTIN, TX 78753
(30.37096, -97.69257)",11308436,Routine Inspection,30.37096,-97.69257
7-Eleven Convenience Store #34251,78758,7/8/2015,91,"9200 BURNET RD
AUSTIN, TX 78758
(30.375841, -97.725814)",10394056,Routine Inspection,30.375841,-97.725814
7-Eleven Convenience Store #34253,78660,5/21/2015,88,"15010 FM 1825 RD
AUSTIN, TX 78660
(30.442822, -97.665385)",10723015,Routine Inspection,30.442822,-97.665385
7-Eleven Convenience Store #35801H,78754,7/10/2014,86,"9704 GILES LN
AUSTIN, TX 78754
(30.332321, -97.622991)",10761992,Routine Inspection,30.332321,-97.622991
7-Eleven Convenience Store #35805A,78753,3/27/2015,91,"13641 N IH 35 SVRD NB
AUSTIN, TX 78753
(30.423952, -97.671247)",10762439,Routine Inspection,30.423952,-97.671247
7-Eleven Convenience Store #35808,78721,5/2/2016,95,"863 AIRPORT BLVD
AUSTIN, TX 78721
(30.259164, -97.693584)",10763641,Routine Inspection,30.259164,-97.693584
7-Eleven Convenience Store #36265A,78759,11/16/2016,95,"11587 JOLLYVILLE RD
AUSTIN, TX 78759
(30.416118, -97.748771)",11348526,Routine Inspection,30.416118,-97.748771
7-Eleven Convenience Store #36266A,78754,8/19/2016,82,"8600 E US 290 HWY WB
AUSTIN, TX 78754
(30.328647, -97.659833)",11402314,Routine Inspection,30.328647,-97.659833
7-Eleven Convenience Store #36273A,78731,5/24/2016,84,"3550 FAR WEST BLVD
AUSTIN, TX 78731
(30.353551, -97.753321)",11087894,Routine Inspection,30.353551,-97.753321
7-Eleven Convenience Store #36561A,78758,9/7/2016,91,"1822 RUTLAND DR
AUSTIN, TX 78758
(30.37876, -97.712031)",11473247,Routine Inspection,30.37876,-97.712031
7-Eleven Convenience Store #36587A,78744,11/23/2015,96,"6515-3/4 S IH 35 SVRD NB
AUSTIN, TX 78744
(30.190641, -97.769799)",11151015,Routine Inspection,30.190641,-97.769799
7-Eleven Convenience Store #36591A,78745,12/31/2015,95,"201 E BEN WHITE BLVD EB
AUSTIN, TX 78745
(30.221469, -97.762473)",11390487,Routine Inspection,30.221469,-97.762473
7-Eleven Convenience Store #36592A,78759,8/27/2015,100,"12000 N MOPAC EXPY SB
AUSTIN, TX 78759
(30.409161, -97.715712)",11224954,Routine Inspection,30.409161,-97.715712
7-Eleven Convenience Store #36609,78759,1/19/2016,96,"10800 RESEARCH BLVD SB
AUSTIN, TX 78759
(30.400323, -97.746289)",11017107,Routine Inspection,30.400323,-97.746289
7-Eleven Convenience Store #36618A,78752,8/9/2016,82,"7114 N IH 35 SVRD SB
AUSTIN, TX 78752
(30.332614, -97.704746)",11087892,Routine Inspection,30.332614,-97.704746
7-Eleven Convenience Store #36633B,78753,11/15/2016,85,"9401 N IH 35 SVRD NB
AUSTIN, TX 78753
(30.358282, -97.687275)",11459183,Routine Inspection,30.358282,-97.687275
7-Eleven Convenience Store #36642A,78744,8/21/2015,81,"7715 E BEN WHITE BLVD EB
AUSTIN, TX 78744
(30.218661, -97.689378)",11297482,Routine Inspection,30.218661,-97.689378
7-Eleven Convenience Store #39069C,78745,1/13/2017,93,"6607 CIRCLE S RD
AUSTIN, TX 78745
(30.193268, -97.777424)",11446195,Routine Inspection,30.193268,-97.777424
7-Eleven Store # 36999,78701,4/29/2016,91,"823 CONGRESS AVE
AUSTIN, TX 78701
(30.270141, -97.742042)",11092884,Routine Inspection,30.270141,-97.742042
7-Eleven Store # 37138,78705,12/12/2016,94,"2803 SAN JACINTO BLVD
AUSTIN, TX 78705
(30.290639, -97.734548)",11320338,Routine Inspection,30.290639,-97.734548
7-Eleven Store #35878 A,78701,1/8/2015,84,"613 CONGRESS AVE
AUSTIN, TX 78701
(30.268632, -97.742603)",10873620,Routine Inspection,30.268632,-97.742603
7-Eleven Store #36986,78705,10/27/2015,92,"2330 GUADALUPE ST
AUSTIN, TX 78705
(30.287145, -97.741656)",11261784,Routine Inspection,30.287145,-97.741656
888 Restaurant,78757,11/29/2016,72,"911 W ANDERSON LN
AUSTIN, TX 78757
(30.348386, -97.714627)",2802839,Routine Inspection,30.348386,-97.714627
888 Vietnamese,78741,8/20/2015,63,"2400 E OLTORF ST Unit 1-A
AUSTIN, TX 78741
(30.22938, -97.730345)",2802966,1st Follow Up to Routine of 50 - 69,30.22938,-97.730345
888 Vietnamese,78741,5/18/2016,79,"2400 E OLTORF ST Unit 1-A
AUSTIN, TX 78741
(30.22938, -97.730345)",2802966,Routine Inspection,30.22938,-97.730345
888 Vietnamese,78741,8/24/2015,84,"2400 E OLTORF ST Unit 1-A
AUSTIN, TX 78741
(30.22938, -97.730345)",2802966,2nd Follow Up to 50 - 69,30.22938,-97.730345
"A la Carte Menu Services,Inc",78702,10/6/2016,94,"900 CHICON ST
AUSTIN, TX 78702
(30.264591, -97.721209)",10491439,Routine Inspection,30.264591,-97.721209
A New Entry @ The McCabe Center,78702,2/9/2017,96,"1915 E MARTIN LUTHER KING JR BLVD
AUSTIN, TX 78702
(30.279945, -97.720338)",11084076,Routine Inspection,30.279945,-97.720338
A Shady Deal,78653,5/17/2016,80,"14219 LITTIG RD
AUSTIN, TX 78653
(30.333514, -97.508959)",10008007,Routine Inspection,30.333514,-97.508959
"A Taste of Chocolate, LLC",78745,11/19/2015,96,"1606 W STASSNEY LN Unit 1
AUSTIN, TX 78745
(30.213367, -97.793265)",10984781,Routine Inspection,30.213367,-97.793265
A.B.Cantu/Pan-Am Rec. Center,78702,1/19/2017,94,"2100 E 3RD ST
AUSTIN, TX 78702
(30.257841, -97.72081)",2802781,Routine Inspection,30.257841,-97.72081
Abacus School of Austin,78717,8/24/2016,99,"14115 AVERY RANCH BLVD
AUSTIN, TX 78717
(30.494623, -97.788171)",10374904,Routine Inspection,30.494623,-97.788171
Abel's,78727,12/15/2015,71,"4001 W PARMER LN
AUSTIN, TX 78727
(30.425466, -97.71541)",11027754,Routine Inspection,30.425466,-97.71541
Abel's on the Lake,78703,7/8/2016,78,"3825 LAKE AUSTIN BLVD Unit 201
AUSTIN, TX 78703
(30.295571, -97.783772)",10278633,Routine Inspection,30.295571,-97.783772
ABIA - Annie's Cafe & Bar,78719,9/2/2016,99,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2802023,Routine Inspection,30.202653,-97.667267
ABIA - Hoovers Chicken and More,78719,11/6/2014,96,"3600 PRESIDENTIAL BLVD Unit 201
AUSTIN, TX 78719
(30.202653, -97.667267)",11118269,Routine Inspection,30.202653,-97.667267
ABIA - Vino Volo,78719,11/6/2014,93,"3600 PRESIDENTIAL BLVD Unit 3204
AUSTIN, TX 78719
(30.202653, -97.667267)",11109090,Routine Inspection,30.202653,-97.667267
ABIA Amy's Ice Cream,78719,12/16/2015,86,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2801341,Routine Inspection,30.202653,-97.667267
ABIA Auntie Anne's,78719,10/14/2016,89,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2801784,Routine Inspection,30.202653,-97.667267
ABIA Austin Chronicle,78719,10/2/2014,100,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2801519,Routine Inspection,30.202653,-97.667267
ABIA Austin Java,78719,12/30/2014,97,"3600 PRESIDENTIAL BLVD Unit 201
AUSTIN, TX 78719
(30.202653, -97.667267)",10085431,Routine Inspection,30.202653,-97.667267
ABIA Earl Campbell's,78719,2/1/2017,98,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2801521,Routine Inspection,30.202653,-97.667267
ABIA Fara Cafe Sports Bar,78719,2/10/2015,93,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2803020,Routine Inspection,30.202653,-97.667267
ABIA Hills Cafe/Nuevo Leon,78719,10/2/2014,92,"3600 PRESIDENTIAL BLVD Unit 201
AUSTIN, TX 78719
(30.202653, -97.667267)",10509763,Routine Inspection,30.202653,-97.667267
ABIA LSG/Sky Kitchen,78719,7/29/2015,90,"9919 SERVICE AVE
AUSTIN, TX 78719
(30.205237, -97.661297)",2801507,Routine Inspection,30.205237,-97.661297
ABIA Mangia Pizza,78719,8/20/2014,100,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2803209,Routine Inspection,30.202653,-97.667267
ABIA Maudie's,78719,7/22/2014,100,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2801338,Routine Inspection,30.202653,-97.667267
ABIA Ray Benson's Roadhouse Bar,78719,8/5/2014,88,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2801508,Routine Inspection,30.202653,-97.667267
ABIA Ruta Maya,78719,11/6/2014,93,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",10790198,Routine Inspection,30.202653,-97.667267
ABIA Ruta Maya #5233,78719,1/26/2016,83,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",10448000,Routine Inspection,30.202653,-97.667267
ABIA Salt Lick Deli,78719,2/1/2017,94,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2801339,Routine Inspection,30.202653,-97.667267
ABIA Saxon Pub,78719,8/5/2014,100,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",10509750,Routine Inspection,30.202653,-97.667267
ABIA Schlotzsky's,78719,6/3/2015,95,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",2801340,Routine Inspection,30.202653,-97.667267
ABIA SoCo Market,78719,2/9/2016,98,"3600 PRESIDENTIAL BLVD Unit 201
AUSTIN, TX 78719
(30.202653, -97.667267)",10465144,Routine Inspection,30.202653,-97.667267
ABIA Wok N Roll,78719,10/14/2016,88,"3600 PRESIDENTIAL BLVD
AUSTIN, TX 78719
(30.202653, -97.667267)",10368092,Routine Inspection,30.202653,-97.667267
Abiding Love Lutheran Child,78749,12/1/2014,100,"4612 CONVICT HILL RD
AUSTIN, TX 78749
(30.217423, -97.847021)",2800947,Routine Inspection,30.217423,-97.847021
Abuelo's,78746,9/29/2015,83,"2901 S CAPITAL OF TEXAS HWY NB Unit M08
AUSTIN, TX 78746
(30.254658, -97.809462)",2802186,Routine Inspection,30.254658,-97.809462
Acacia Fraternity,78705,9/10/2015,90,"2614 RIO GRANDE ST
AUSTIN, TX 78705
(30.291686, -97.7443)",10800901,Routine Inspection,30.291686,-97.7443
Academic Beginnings CDC,78744,3/3/2015,94,"1700 TERI RD
AUSTIN, TX 78744
(30.20446, -97.756119)",2801923,Routine Inspection,30.20446,-97.756119
Accent Food Services,78752,4/25/2016,100,"6101 AIRPORT BLVD
AUSTIN, TX 78752
(30.325933, -97.71605)",11313967,Routine Inspection,30.325933,-97.71605
"Accent Food Services, LLC",78746,6/16/2016,97,"1501 S MOPAC EXPY NB
AUSTIN, TX 78746
(30.261679, -97.790386)",11444576,Routine Inspection,30.261679,-97.790386
ACL-Live@MoodyTheater,78701,7/2/2014,90,"310 W 2ND ST
AUSTIN, TX 78701
(30.265127, -97.747151)",10542039,Routine Inspection,30.265127,-97.747151
Adelee's All Natural,78741,3/3/2016,100,"6319 EL MIRANDO ST
AUSTIN, TX 78741
(30.239458, -97.692373)",11374989,Routine Inspection,30.239458,-97.692373
Advantage Sales & Marketing @ Sam's Club 6188,78717,5/2/2016,98,"10901 LAKELINE MALL DR
AUSTIN, TX 78717
(30.474449, -97.795922)",11283874,Routine Inspection,30.474449,-97.795922
AFC Sushi # Dell PS 2,78753,6/19/2014,85,"701 E PARMER LN
AUSTIN, TX 78753
(30.401646, -97.656617)",2802658,Routine Inspection,30.401646,-97.656617
AFC Sushi @ Samsung,78754,7/11/2016,100,"12100 SAMSUNG BLVD
AUSTIN, TX 78754
(30.372088, -97.634248)",11231703,Routine Inspection,30.372088,-97.634248
AFC Sushi@Randall's 2987,78732,4/29/2015,100,"5145 N FM 620 RD
AUSTIN, TX 78732
(30.390367, -97.884685)",10736882,Routine Inspection,30.390367,-97.884685
AFC Sushi@St. Edwards University,78704,10/28/2014,96,"3001 S CONGRESS AVE
AUSTIN, TX 78704
(30.231903, -97.758818)",10497447,Routine Inspection,30.231903,-97.758818
Afia Foods,78737,1/26/2017,100,"12013 W US 290 HWY
AUSTIN, TX 78737
(30.211473, -97.968303)",11553665,Routine Inspection,30.211473,-97.968303
Afri Carib Market,78753,4/28/2016,99,"825 E RUNDBERG LN Unit F-5
AUSTIN, TX 78753
(30.357466, -97.686736)",2804104,Routine Inspection,30.357466,-97.686736
Afriqmart,78660,12/27/2016,100,"2700 W PECAN ST
AUSTIN, TX 78660
(30.449334, -97.657083)",10126001,Routine Inspection,30.449334,-97.657083
Aguilera's Mexican Restaurant,78752,2/17/2016,90,"7210 CAMERON RD
AUSTIN, TX 78752
(30.326375, -97.692205)",10862312,1st Follow Up to Routine of 50 - 69,30.326375,-97.692205
Aguilera's Mexican Restaurant,78752,7/29/2015,84,"7210 CAMERON RD
AUSTIN, TX 78752
(30.326375, -97.692205)",10862312,Routine Inspection,30.326375,-97.692205
Airport Quickstop,78722,3/11/2015,89,"2204 AIRPORT BLVD
AUSTIN, TX 78722
(30.285669, -97.706054)",11199943,Routine Inspection,30.285669,-97.706054
Akins High School,78748,9/17/2014,100,"10701 S 1ST ST
AUSTIN, TX 78748
(30.150747, -97.802129)",2801448,Routine Inspection,30.150747,-97.802129
Alameda House,78704,5/21/2014,88,"4019 MANCHACA RD
AUSTIN, TX 78704
(30.232562, -97.786542)",2800975,Routine Inspection,30.232562,-97.786542
Alamo Draft House Cinema,78704,11/2/2015,95,"1120 S LAMAR BLVD
AUSTIN, TX 78704
(30.255204, -97.762028)",2802570,Routine Inspection,30.255204,-97.762028
Alamo Drafthouse Cinema,78757,9/26/2016,88,"2700 W ANDERSON LN
AUSTIN, TX 78757
(30.358106, -97.735077)",11173762,Routine Inspection,30.358106,-97.735077
Alamo Drafthouse Cinema,78701,5/28/2015,80,"320 E 6TH ST
AUSTIN, TX 78701
(30.26716, -97.739586)",11173744,Routine Inspection,30.26716,-97.739586
Alamo Drafthouse South Mopac,78739,8/22/2014,97,"5701 W SLAUGHTER LN Bldg F
AUSTIN, TX 78739
(30.201062, -97.868485)",10700183,Routine Inspection,30.201062,-97.868485
Alamo Senior Lunch,78722,6/21/2016,98,"2100 ALAMO ST
AUSTIN, TX 78722
(30.282633, -97.719847)",2802204,Routine Inspection,30.282633,-97.719847
Alcomar Mariscos y Mas,78704,8/13/2015,73,"1816 S 1ST ST
AUSTIN, TX 78704
(30.246754, -97.756234)",10940875,Routine Inspection,30.246754,-97.756234
Alfredo's Mexican Restaurant,78660,12/29/2016,77,"15608 SPRING HILL LN
AUSTIN, TX 78660
(30.445599, -97.651071)",11268023,Routine Inspection,30.445599,-97.651071
Alfred's Catering,78723,9/17/2014,97,"5706 MANOR RD Unit E
AUSTIN, TX 78723
(30.304672, -97.681232)",10591083,Routine Inspection,30.304672,-97.681232
All Star Grocery,78744,5/27/2016,93,"5303 NUCKOLS CROSSING RD
AUSTIN, TX 78744
(30.193098, -97.738959)",2803748,Routine Inspection,30.193098,-97.738959
All Star Grocery,78745,10/22/2014,88,"4619 S CONGRESS AVE
AUSTIN, TX 78745
(30.215325, -97.768747)",2803756,Routine Inspection,30.215325,-97.768747
All Star Grocery #3,78744,11/6/2015,98,"4600 TERI RD
AUSTIN, TX 78744
(30.19674, -97.743719)",2804059,Routine Inspection,30.19674,-97.743719
Allan Head Start Child Development Center,78702,9/9/2016,95,"4900 GONZALES ST
AUSTIN, TX 78702
(30.255619, -97.698073)",11204878,Routine Inspection,30.255619,-97.698073
Allison Elementary,78741,4/4/2014,97,"515 VARGAS RD
AUSTIN, TX 78741
(30.237389, -97.691189)",2800216,Routine Inspection,30.237389,-97.691189
Aloft Hotel Austin Domain,78758,1/22/2015,82,"11601 DOMAIN DR
AUSTIN, TX 78758
(30.402958, -97.72396)",10280424,Routine Inspection,30.402958,-97.72396
Alonti,78704,12/28/2016,96,"701 S LAMAR BLVD Unit B
AUSTIN, TX 78704
(30.258485, -97.759264)",10482725,Routine Inspection,30.258485,-97.759264
Alonti Catering,78758,3/18/2014,93,"12001 BURNET RD Unit C
AUSTIN, TX 78758
(30.408056, -97.713626)",10593012,Routine Inspection,30.408056,-97.713626
Alonzo's Tacos,78741,9/8/2016,84,"907 MONTOPOLIS DR
AUSTIN, TX 78741
(30.235238, -97.696878)",2800316,Routine Inspection,30.235238,-97.696878
Alpha Chi Omega,78705,4/7/2016,98,"2420 NUECES ST
AUSTIN, TX 78705
(30.288902, -97.742994)",2800068,Routine Inspection,30.288902,-97.742994
Alpha Delta Pi Sorority,78705,10/15/2014,97,"2620 RIO GRANDE ST
AUSTIN, TX 78705
(30.292346, -97.744247)",2800369,Routine Inspection,30.292346,-97.744247
Alpha Epsilon Phi,78705,10/24/2016,97,"2500 RIO GRANDE ST
AUSTIN, TX 78705
(30.289667, -97.744481)",2800368,Routine Inspection,30.289667,-97.744481
