Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Peace Bakery & Deli,78758,1/15/2016,78,"11220 N LAMAR BLVD Bunit 150
AUSTIN, TX 78758
",11191821,Routine Inspection
Peace Bakery & Deli,78758,2/8/2017,85,"11220 N LAMAR BLVD Bunit 150
AUSTIN, TX 78758
",11191821,1st Follow Up to Routine of 50 - 69
Pei Wei Asian Diner,78729,2/23/2016,87,"13429 N US 183 HWY NB
AUSTIN, TX 78729
",10004511,Routine Inspection
Peoples Pharmacy #4,78750,3/17/2016,100,"13860 N US 183 HWY
AUSTIN, TX 78750
",10529608,Routine Inspection
Phil's Ice House,78729,1/6/2015,87,"13265 N US 183 HWY NB Unit P
AUSTIN, TX 78729
",11008920,Routine Inspection
Pho Dan,78758,2/11/2016,73,"11220 N LAMAR BLVD Bunit 100
AUSTIN, TX 78758
",10044643,Routine Inspection
Pinballz Arcade,78729,1/17/2017,86,"13729 N US 183 HWY NB Unit 1350
AUSTIN, TX 78729
",11518966,Routine Inspection
Pita Fusion,78750,12/15/2016,93,"13776 N US 183 HWY SB Unit 130
AUSTIN, TX 78750
",11503481,Routine Inspection
Pizza Hut,78730,2/23/2015,100,"10601 FM 2222 RD Bldg A
AUSTIN, TX 78730
",2802656,Routine Inspection
Potbelly Sandwich Shop,78717,1/13/2017,80,"14009 N US 183 HWY SVRD NB Unit 101
AUSTIN, TX 78717
",11436954,Routine Inspection
Potbelly Sandwich Works,78758,1/8/2016,88,"10515 N MOPAC EXPY NB Bunit 300
AUSTIN, TX 78758
",10035755,Routine Inspection
Quality Inn & Suites,78617,3/18/2015,96,"2751 E SH 71 WB
AUSTIN, TX 78617
",10672255,Routine Inspection
Race Express,78744,7/14/2016,79,"4718 S US 183 HWY SB
AUSTIN, TX 78744
",11249310,Routine Inspection
Rack Daddy,78728,2/16/2016,88,"1779 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",2801505,Routine Inspection
Raggedy Anne's,78728,1/20/2015,86,"2113 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",2800955,Routine Inspection
Reales Pizza & Cafe,78750,3/23/2015,89,"13450 N US 183 HWY SB
AUSTIN, TX 78750
",2801415,Routine Inspection
Recovery Unplugged,78725,11/1/2016,90,"14109 FM 969 RD
AUSTIN, TX 78725
",11503365,Routine Inspection
"RedFin Seafood Kitchen, LLC",78726,1/26/2016,96,"8300 N FM 620 RD Bunit 800
AUSTIN, TX 78726
",11325196,Routine Inspection
Reel Popcorn,78748,4/3/2015,97,"8708 S CONGRESS AVE Bunit 550
AUSTIN, TX 78748
",10649537,Routine Inspection
Restaurante Jasmines,78617,1/13/2015,72,"2463 E SH 71 WB Unit 2
AUSTIN, TX 78617
",10488639,Routine Inspection
Rice Bowl Cafe,78758,5/13/2015,77,"11220 N LAMAR BLVD Bunit 306
AUSTIN, TX 78758
",10446331,Routine Inspection
Rob Roy Chevron,78733,4/9/2015,86,"7110 FM 2244 RD
AUSTIN, TX 78733
",2803512,Routine Inspection
SV - Coriander Indian Cuisine,78735,4/2/2015,89,"4894 W US 290 HWY WB
SUNSET VALLEY, TX 78735
",10757218,Routine Inspection
SV - Holiday Inn Express,78735,2/23/2015,97,"4892 W US 290 HWY WB
SUNSET VALLEY, TX 78735
",2802106,Routine Inspection
SV - Longhorn Steakhouse #5423,78745,3/31/2015,70,"4809 W US 290 HWY EB
SUNSET VALLEY, TX 78745
",10752973,Routine Inspection
SV - Wendy's W108,78749,3/11/2015,100,"4961 W US 290 HWY EB
SUNSET VALLEY, TX 78749
",11119775,Routine Inspection
Safe Place School &CDC,78741,3/23/2016,100,"P.O.BOX 19454
AUSTIN, TX 78741
",2801390,Routine Inspection
Salsas Mexican Cuisine Cantina,78730,4/5/2016,76,"10601 FM 2222 RD
AUSTIN, TX 78730
",10771549,Routine Inspection
Sam's Club (Sample Stations),78735,3/17/2014,97,"4970 W US 290 HWY WB Bldg 4
AUSTIN, TX 78735
",10408644,Routine Inspection
Scenic Brook Food Mart,78735,3/12/2014,88,"7216 W SH 71
AUSTIN, TX 78735
",2803458,Routine Inspection
"Schlotzsky's Stores, LLC",78729,3/9/2016,82,"13201 N FM 620 RD NB
AUSTIN, TX 78729
",10004373,Routine Inspection
School in the Hills-River Place LLC,78730,2/9/2017,97,"10819 FM 2222 RD
AUSTIN, TX 78730
",11491119,Routine Inspection
Seek & Say Enrichment Day Care,78725,3/20/2015,100,"6123 FM 969 RD
AUSTIN, TX 78725
",2800906,Routine Inspection
Serrano's Cafe & Cantina,78735,4/11/2014,62,"5030 W US 290 HWY WB
AUSTIN, TX 78735
",2801349,Routine Inspection
Serrano's Cafe & Cantina,78735,4/29/2014,76,"5030 W US 290 HWY WB
AUSTIN, TX 78735
",2801349,1st Follow Up to Routine of 50 - 69
Sesame Hill,78735,1/30/2017,87,"6156 W US 290 HWY WB Bldg A
AUSTIN, TX 78735
",10048610,Routine Inspection
Short Stop #2,78759,5/11/2015,81,"12784 N US 183 HWY SVRD SB
AUSTIN, TX 78759
",2800935,Routine Inspection
Slab,78757,2/10/2015,92,"9012 RESEARCH BLVD SB Bunit 4
AUSTIN, TX 78757
",11182639,Routine Inspection
Sleep Inn & Suites,78754,2/11/2015,97,"8410 E US 290 HWY WB
AUSTIN, TX 78754
",11031713,Routine Inspection
Smashburger,78613,1/22/2016,97,"14028 N US 183 HWY SVRD SB Bunit 310
AUSTIN, TX 78613
",10996137,Routine Inspection
Smokey J's Barbeque #1,78732,3/24/2016,86,"7008 N FM 620 RD
AUSTIN, TX 78732
",2800704,Routine Inspection
Snow Monster,78758,1/12/2017,91,"11220 N LAMAR BLVD Bunit 275
AUSTIN, TX 78758
",11114129,Routine Inspection
Snow Pea Asian Bistro,78613,6/1/2015,76,"14028 N US 183 HWY SVRD SB Bunit 170
AUSTIN, TX 78613
",11016282,Routine Inspection
Sonic,78735,1/8/2015,93,"7714 W SH 71 Bldg A
AUSTIN, TX 78735
",2801236,Routine Inspection
Sonic,78728,1/31/2017,74,"1637 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",2801491,Routine Inspection
Sonic Drive In,78617,1/6/2015,91,"3119 E SH 71 WB
AUSTIN, TX 78617
",2800650,Routine Inspection
"Soup Peddler, The",78729,4/18/2016,93,"13219 N US 183 HWY NB Unit 400
AUSTIN, TX 78729
",11239863,Routine Inspection
Southwest Theaters Lake Creek 7,78729,1/28/2016,90,"13729 N US 183 HWY NB Unit 1500
AUSTIN, TX 78729
",11046085,Routine Inspection
Star Stop 72,78744,2/7/2017,76,"3404 S US 183 HWY SB
AUSTIN, TX 78744
",11028070,Routine Inspection
Star Stop 77,78750,1/22/2015,94,"13466 N US 183 HWY SVRD SB
AUSTIN, TX 78750
",11027874,Routine Inspection
Star Stop 78,78729,1/13/2015,97,"13775 N US 183 HWY NB
AUSTIN, TX 78729
",11028001,Routine Inspection
Star Stop 79,78750,1/12/2015,100,"12801 N FM 620 RD NB
AUSTIN, TX 78750
",11028028,Routine Inspection
Starbucks Coffee #14500,78749,4/24/2014,96,"7015 W US 290 HWY EB Unit HP
AUSTIN, TX 78749
",10220716,Routine Inspection
Starbucks Coffee #15747,78726,2/10/2015,92,"11521 N FM 620 RD Bunit 950
AUSTIN, TX 78726
",10657955,Routine Inspection
Starbucks Coffee Company,78613,4/27/2015,97,"14028 N US 183 HWY SVRD SB Bldg H
AUSTIN, TX 78613
",11034139,Routine Inspection
Stepping Stone School,78728,1/15/2015,96,"2001 W WELLS BRANCH PKWY
AUSTIN, TX 78728
",2800933,Routine Inspection
Stop 71,78735,3/10/2016,86,"8314 W SH 71
AUSTIN, TX 78735
",2803909,Routine Inspection
Stop 71,78735,7/8/2014,92,"8314 W SH 71
AUSTIN, TX 78735
",2803909,1st Follow Up to Routine of 50 - 69
Subway,78750,1/23/2015,94,"12129 N FM 620 RD Bunit 202
AUSTIN, TX 78750
",2801660,Routine Inspection
Subway,78727,3/2/2015,96,"3407 W WELLS BRANCH PKWY Unit 900-A
AUSTIN, TX 78727
",11004879,Routine Inspection
Subway # 7225,78749,1/22/2016,84,"6705 W US 290 HWY Unit 609
AUSTIN, TX 78749
",11298947,Routine Inspection
Subway- Del Valle,78617,1/6/2015,90,"2401 E SH 71 WB
AUSTIN, TX 78617
",2802586,Routine Inspection
Super Maxx,78725,2/24/2015,100,"7801 FM 969 RD
AUSTIN, TX 78725
",11039493,Routine Inspection
Super Moreliana Grocery Store,78744,3/12/2015,94,"6112 S US 183 HWY SB
AUSTIN, TX 78744
",10726889,Routine Inspection
Super Moreliana-Meat Mkt.,78744,3/12/2015,93,"6112 S US 183 HWY SB
AUSTIN, TX 78744
",10726924,Routine Inspection
Super Moreliana-Taqueria,78744,2/5/2015,91,"6112 S US 183 HWY SB
AUSTIN, TX 78744
",10726921,Routine Inspection
Sushi BangBang Inc.,78717,10/19/2016,85,"14005 N US 183 HWY SVRD NB Unit 1000
AUSTIN, TX 78717
",11503556,Routine Inspection
Sweet Treets Bakery,78749,3/4/2016,95,"6705 W US 290 HWY Unit 601
AUSTIN, TX 78749
",11060796,Routine Inspection
TJ Donuts and Kolaches,78750,1/15/2015,94,"12129 N FM 620 RD
AUSTIN, TX 78750
",10395213,Routine Inspection
Taco Bell #030116,78750,1/21/2015,94,"13770 N US 183 HWY SB Unit 170
AUSTIN, TX 78750
",11066599,Routine Inspection
Taco Bell #030139,78727,2/13/2015,97,"3501 W WELLS BRANCH PKWY
AUSTIN, TX 78727
",11066744,Routine Inspection
Taco Cabana Patio Rest #125,78750,4/7/2016,86,"13376 N US 183 HWY SB
AUSTIN, TX 78750
",2800474,Routine Inspection
Taqueria Chapala #3,78735,2/1/2016,71,"6116 W US 290 HWY WB
AUSTIN, TX 78735
",2803037,Routine Inspection
Taqueria La Tapatia,78750,1/18/2017,83,"13450 N US 183 HWY SB Unit 243
AUSTIN, TX 78750
",10002586,Routine Inspection
Taqueria Morelos,78744,1/28/2016,88,"3100 S US 183 HWY SB
AUSTIN, TX 78744
",2802982,Routine Inspection
Target #1953 (Grocery),78726,3/24/2016,96,"11220 FM 2222 RD
AUSTIN, TX 78726
",2802523,Routine Inspection
Target T-1953 (Starbucks),78726,3/23/2016,92,"11220 FM 2222 RD
AUSTIN, TX 78726
",2802524,Routine Inspection
Tex Con Oil Company,78736,9/8/2016,97,"8225 W SH 71
AUSTIN, TX 78736
",11474807,Routine Inspection
Texadelphia,78613,1/22/2016,86,"14010 N US 183 HWY SVRD SB
AUSTIN, TX 78613
",2802968,Routine Inspection
Texas Land & Cattle,78613,1/19/2017,87,"14010 N US 183 HWY SVRD SB Unit 100
AUSTIN, TX 78613
",2802509,Routine Inspection
Texas Mutual Cafe,78752,3/14/2016,97,"6210 E US 290 HWY WB
AUSTIN, TX 78752
",10902675,Routine Inspection
Texas Roadhouse,78729,1/26/2016,90,"13435 N US 183 HWY NB Bldg 7
AUSTIN, TX 78729
",10002062,Routine Inspection
Texas Roadhouse,78660,3/22/2016,82,"15415 N IH 35 SVRD NB
AUSTIN, TX 78660
",10039858,Routine Inspection
Thai Passion,78750,1/3/2017,73,"13376 N US 183 HWY SB Unit 400
AUSTIN, TX 78750
",11258415,Routine Inspection
Thai Taste,78735,3/18/2015,75,"7010 W SH 71 Unit 180
AUSTIN, TX 78735
",10446066,Routine Inspection
The Children's Center of Austin,78733,1/20/2015,100,"8100 FM 2244 RD
AUSTIN, TX 78733
",2802860,Routine Inspection
The Coffee Bean & Tea Leaf ,78750,2/13/2017,98,"13376 N US 183 HWY SB
AUSTIN, TX 78750
",10531031,Routine Inspection
The Egg & I Restaurant (#362 Austin-Walden),78717,3/10/2016,88,"14005 N US 183 HWY SVRD NB Unit 500
AUSTIN, TX 78717
",11356774,Routine Inspection
The Grove,78746,4/20/2016,90,"6317 FM 2244 RD Bunit 380
AUSTIN, TX 78746
",10076097,Routine Inspection
The Melting Pot,78729,1/22/2015,97,"13343 N US 183 HWY NB Unit 350
AUSTIN, TX 78729
",2802600,Routine Inspection
Third Base,78729,4/23/2015,97,"13301 N US 183 HWY NB
AUSTIN, TX 78729
",10938348,Routine Inspection
Thirsty Turtle,78660,1/14/2016,96,"1200 W HOWARD LN Bunit J
AUSTIN, TX 78660
",11268694,Routine Inspection
Thundercloud Subs,78732,1/17/2017,89,"6920 N FM 620 RD
AUSTIN, TX 78732
",2800958,Routine Inspection
Thundercloud Subs,78750,4/17/2015,97,"13776 N US 183 HWY SB
AUSTIN, TX 78750
",2801337,Routine Inspection
Tino's Greek Cafe,78750,3/4/2015,89,"13450 N US 183 HWY SB Unit 237
AUSTIN, TX 78750
",2802725,Routine Inspection
Tokyo Garden Catering,78613,4/7/2015,100,"14028 N US 183 HWY SVRD SB
AUSTIN, TX 78613
",10854075,Routine Inspection
Tokyo Gardens Catering,78750,3/17/2016,92,"12860 N US 183 HWY SVRD SB
AUSTIN, TX 78750
",10747724,Routine Inspection
Total Fitness and Nutrition,78750,4/5/2016,96,"13776 N US 183 HWY SB Unit 125
AUSTIN, TX 78750
",2802669,Routine Inspection
Tous Les Jours,78757,2/19/2016,85,"6808 N LAMAR BLVD Bunit 115
AUSTIN, TX 78757
",10849013,Routine Inspection
Tucci's Southside Subs,78736,5/5/2015,93,"7101 W SH 71
AUSTIN, TX 78736
",2803090,Routine Inspection
Vazquez Restaurant #3,78729,7/21/2016,94,"13729 N US 183 HWY NB Unit 860
AUSTIN, TX 78729
",11434703,Routine Inspection
"Verts Mediterranean Grill, Inc. ",78726,1/21/2015,86,"11521 N FM 620 RD Bunit 1300
AUSTIN, TX 78726
",10828829,Routine Inspection
Via 313 Pizza,78749,6/9/2016,78,"6705 W US 290 HWY Unit 503
AUSTIN, TX 78749
",11318005,Routine Inspection
Waffle House #1683,78754,1/14/2016,87,"8800 E US 290 HWY WB
AUSTIN, TX 78754
",11341102,Routine Inspection
Wagner Brothers Backyard,78660,2/24/2016,93,"15505 N IH 35 SVRD NB
AUSTIN, TX 78660
",11328035,Routine Inspection
Wal-Mart #2133-Milk/ Ice Cream,78749,1/22/2015,100,"5017 W US 290 HWY EB
AUSTIN, TX 78749
",10002963,Routine Inspection
Wal-Mart Supercenter #1129,78729,4/8/2015,100,"13201 N FM 620 RD NB
AUSTIN, TX 78729
",2804123,Routine Inspection
Wal-Mart Supercenter #2133,78749,1/22/2015,96,"5017 W US 290 HWY EB
AUSTIN, TX 78749
",10094665,Routine Inspection
Wal-Mart Supercenter #2133 -Bakery,78749,1/22/2015,100,"5017 W US 290 HWY EB
AUSTIN, TX 78749
",10193642,Routine Inspection
Wal-Mart Supercenter #2133 -Deli,78749,1/22/2015,92,"5017 W US 290 HWY EB
AUSTIN, TX 78749
",10193630,Routine Inspection
Wal-Mart Supercenter #2133 -Meat,78749,1/23/2015,100,"5017 W US 290 HWY EB
AUSTIN, TX 78749
",10193646,Routine Inspection
Wal-Mart Supercenter #2133 -Produce,78749,1/22/2015,97,"5017 W US 290 HWY EB
AUSTIN, TX 78749
",10193644,Routine Inspection
Wal-Mart Supercenter-Bakery #1129,78729,4/8/2015,100,"13201 N FM 620 RD NB
AUSTIN, TX 78729
",2801150,Routine Inspection
Walgreen's #01970,78727,1/5/2015,100,"3407 W WELLS BRANCH PKWY
AUSTIN, TX 78727
",2804025,Routine Inspection
Walgreens,78730,1/4/2017,97,"6911 N FM 620 RD
AUSTIN, TX 78730
",2803852,Routine Inspection
Walgreens #11853,78729,2/11/2016,99,"13435 N US 183 HWY NB Bldg 8
AUSTIN, TX 78729
",10501111,Routine Inspection
"Wanna Play, LLC",78613,2/3/2017,100,"14010 N US 183 HWY SVRD SB
AUSTIN, TX 78613
",10103530,Routine Inspection
Waterhole Saloon,78617,2/22/2016,95,"5244 E SH 71 EB
AUSTIN, TX 78617
",10095792,Routine Inspection
Wells Branch Food Mart,78727,9/1/2016,79,"3505 W WELLS BRANCH PKWY
AUSTIN, TX 78727
",11497573,Routine Inspection
West Rural Community Center,78735,2/13/2015,100,"8656 W SH 71 Bldg A
AUSTIN, TX 78735
",10000953,Routine Inspection
Whataburger #709,78729,4/3/2015,100,"13201 N FM 620 RD NB
AUSTIN, TX 78729
",2801398,Routine Inspection
Which Wich,78750,9/20/2016,88,"13450 N US 183 HWY SB Unit 239A
AUSTIN, TX 78750
",11474496,Routine Inspection
Whitney's Magical Treats,78750,11/3/2016,98,"13776 N US 183 HWY SB Unit 139
AUSTIN, TX 78750
",11509518,Routine Inspection
Willie's Burgers and BBQ,78669,1/9/2017,90,"21018 W SH 71 Unit 200
SPICEWOOD, TX 78669
",10030534,Routine Inspection
Xian Sushi and Noodle #2,78729,2/25/2015,90,"13201 N FM 620 RD NB
AUSTIN, TX 78729
",10174832,Routine Inspection
"YZ Research Blvd, LLC",78750,5/14/2016,98,"12854 N US 183 HWY SB
AUSTIN, TX 78750
",11432789,Routine Inspection
Zaytouna Lounge,78758,1/8/2016,100,"11800 N LAMAR BLVD Bunit B
AUSTIN, TX 78758
",10707423,Routine Inspection
